group,sense,tag,word,def,example
Stability & fluctuation,no change or up-and-down (Task 1),t1,stay constant,for values that do not change at all,The percentage of rural workers stayed constant over the decade.
Stability & fluctuation,no change or up-and-down (Task 1),t1,remain unchanged,formal way to say a figure did not move,The proportion of women in the workforce remained unchanged.
Stability & fluctuation,no change or up-and-down (Task 1),t1,hold steady,for a figure that stays level despite expectations of change,Oil prices held steady at 60 dollars per barrel.
Stability & fluctuation,no change or up-and-down (Task 1),t1,fluctuate,for figures that rise and fall irregularly over time,Tourist numbers fluctuated between 2 and 4 million each year.
Stability & fluctuation,no change or up-and-down (Task 1),t1,show fluctuation,noun phrase to summarise an irregular up-and-down pattern,The graph shows considerable fluctuation in monthly rainfall.
Stability & fluctuation,no change or up-and-down (Task 1),t1,even out,for differences that become smaller and more equal over time,"By 2020, the gap between the two regions had evened out."
Degree & speed of change,how big or fast a change is (Task 1),t1,sharply,"adverb for a large, sudden change; pair with rise or fall",Unemployment rose sharply between 2008 and 2009.
Degree & speed of change,how big or fast a change is (Task 1),t1,dramatically,"adverb for a very large, striking change",Car ownership increased dramatically over the twenty-year period.
Degree & speed of change,how big or fast a change is (Task 1),t1,rapidly,adverb stressing speed rather than size of change,The population grew rapidly during the early 2000s.
Degree & speed of change,how big or fast a change is (Task 1),t1,steadily,"adverb for a constant, even change without sudden jumps",Income levels rose steadily throughout the decade.
Degree & speed of change,how big or fast a change is (Task 1),t1,gradually,"adverb for a slow, continuous change",The temperature gradually increased over the summer months.
Degree & speed of change,how big or fast a change is (Task 1),t1,slightly,adverb for a very small change; pair with rise or fall,Sales fell slightly in the final quarter.
Degree & speed of change,how big or fast a change is (Task 1),t1,marginally,"adverb for a tiny, almost negligible change; formal",Prices rose only marginally compared with the previous year.
Degree & speed of change,how big or fast a change is (Task 1),t1,a sharp rise,"noun phrase for a large, sudden increase",There was a sharp rise in fuel costs after 2010.
Degree & speed of change,how big or fast a change is (Task 1),t1,a steady increase,"noun phrase for a constant, even rise over time",The data shows a steady increase in life expectancy.
Degree & speed of change,how big or fast a change is (Task 1),t1,a slight dip,"noun phrase for a small, often temporary fall",There was a slight dip in attendance in winter.
Degree & speed of change,how big or fast a change is (Task 1),t1,a dramatic fall,"noun phrase for a very large, striking decrease",The chart records a dramatic fall in newspaper sales.
Approximating figures,round or hedge a number (Task 1),t1,approximately,formal hedge before a rounded figure; very common in Task 1,Approximately 40 percent of households owned a computer in 2005.
Approximating figures,round or hedge a number (Task 1),t1,roughly,less formal synonym for approximately; use before a figure,Roughly half of the respondents preferred public transport.
Approximating figures,round or hedge a number (Task 1),t1,just under,for a figure slightly below a round number,Just under 30 percent of the energy came from renewables.
Approximating figures,round or hedge a number (Task 1),t1,just over,for a figure slightly above a round number,Just over 60 percent of students passed the exam.
Approximating figures,round or hedge a number (Task 1),t1,nearly,for a figure approaching but below a round number,Nearly 70 percent of the city was residential by 2010.
Approximating figures,round or hedge a number (Task 1),t1,around,common informal hedge meaning approximately; use before a figure,Around 5 million tourists visited the region each year.
Approximating figures,round or hedge a number (Task 1),t1,well over,for a figure clearly above a round number,Well over half of the population lived in cities by 2020.
Approximating figures,round or hedge a number (Task 1),t1,a little under,for a figure slightly below a round number; softer than 'just under',A little under a quarter of workers were employed in farming.
Approximating figures,round or hedge a number (Task 1),t1,in the region of,formal phrase before an approximate large figure,Spending stood in the region of 2 billion dollars.
Approximating figures,round or hedge a number (Task 1),t1,almost,for a figure very close to but below a round number,Almost 90 percent of homes had internet access by 2018.
Compare & contrast data,set figures against each other (Task 1),t1,whereas,formal linker contrasting two figures in one sentence,"Men spent 3 hours online, whereas women spent only 2."
Compare & contrast data,set figures against each other (Task 1),t1,while,linker for contrast or simultaneous facts; flexible position,"While exports rose, imports fell over the same period."
Compare & contrast data,set figures against each other (Task 1),t1,compared with,set one figure against another; also 'compared to',Spending on health was high compared with that on defence.
Compare & contrast data,set figures against each other (Task 1),t1,in contrast,sentence opener marking a clear difference from the previous point,"Rural areas declined. In contrast, cities expanded rapidly."
Compare & contrast data,set figures against each other (Task 1),t1,the highest,superlative to identify the largest figure in a set,China recorded the highest level of emissions in 2020.
Compare & contrast data,set figures against each other (Task 1),t1,the lowest,superlative to identify the smallest figure in a set,Spain had the lowest unemployment rate of the four countries.
Compare & contrast data,set figures against each other (Task 1),t1,twice as many as,for a figure double another; multiple comparison,There were twice as many cars as bicycles in the city.
Compare & contrast data,set figures against each other (Task 1),t1,the same as,for two figures that are equal,Spending in 2010 was the same as in 2005.
Compare & contrast data,set figures against each other (Task 1),t1,by far the largest,emphatic superlative stressing a big lead over others,Oil was by far the largest source of energy in 1990.
Compare & contrast data,set figures against each other (Task 1),t1,considerably more than,for a figure clearly higher than another; formal,The city produced considerably more waste than the countryside.
Proportions,describe parts of a whole (Task 1),t1,a third,fraction for roughly 33 percent; common in pie-chart reports,A third of the workforce was employed in the service sector.
Proportions,describe parts of a whole (Task 1),t1,a quarter,fraction for roughly 25 percent of a whole,A quarter of all electricity came from nuclear power.
Proportions,describe parts of a whole (Task 1),t1,the majority,for more than half of a group; followed by 'of',The majority of respondents supported the new policy.
Proportions,describe parts of a whole (Task 1),t1,a small fraction,for a very small part of the whole,Only a small fraction of waste was recycled in 2000.
Proportions,describe parts of a whole (Task 1),t1,nearly half,for a proportion approaching but below 50 percent,Nearly half of the households relied on gas heating.
Proportions,describe parts of a whole (Task 1),t1,the largest share,for the biggest portion of a total; common in charts,Housing accounted for the largest share of monthly spending.
Proportions,describe parts of a whole (Task 1),t1,a significant proportion,for a notably large part of the whole; formal,A significant proportion of the budget went on education.
Proportions,describe parts of a whole (Task 1),t1,one in five,for a 20 percent proportion; vivid alternative to a percentage,One in five adults reported working from home.
Describe a process,sequence the stages (Task 1),t1,first,marks the opening stage of a process or sequence,"First, the raw materials are collected and sorted."
Describe a process,sequence the stages (Task 1),t1,next,links to the following stage in a sequence,"Next, the mixture is heated to a high temperature."
Describe a process,sequence the stages (Task 1),t1,then,common connector moving to the subsequent step,The beans are dried and then roasted in large ovens.
Describe a process,sequence the stages (Task 1),t1,after that,sentence opener for the stage following the previous one,"After that, the liquid is filtered to remove impurities."
Describe a process,sequence the stages (Task 1),t1,subsequently,formal connector for a later stage; smarter than 'then',The product is cooled and subsequently packaged for delivery.
Describe a process,sequence the stages (Task 1),t1,finally,marks the last stage of a process,"Finally, the finished goods are transported to retailers."
Describe a process,sequence the stages (Task 1),t1,is followed by,passive link showing one stage leads to the next,The mixing stage is followed by a period of fermentation.
Describe a process,sequence the stages (Task 1),t1,at this stage,refers to the current step while describing it,"At this stage, the metal is shaped using heavy machinery."
Describe a process,sequence the stages (Task 1),t1,once this is complete,marks the end of one stage before the next begins,"Once this is complete, the bottles are sealed and labelled."
Describe a process,sequence the stages (Task 1),t1,the process begins with,useful opener for the first stage of a process diagram,The process begins with the harvesting of sugar cane.
Describe a process,sequence the stages (Task 1),t1,in the final stage,introduces the last step; alternative to 'finally',"In the final stage, the paper is cut and stored."
Map changes,describe what changed (Task 1),t1,was replaced by,passive past for one feature swapped for another on a map,The small forest in the west was replaced by a large car park.
Map changes,describe what changed (Task 1),t1,was converted into,passive past when a structure changed use rather than being removed,The old factory was converted into a block of luxury apartments.
Map changes,describe what changed (Task 1),t1,was demolished,passive past for a building that was knocked down and removed,The row of cottages near the river was demolished in 2005.
Map changes,describe what changed (Task 1),t1,was constructed,passive past for a new building or structure that was built,A new hospital was constructed on the site of the former school.
Map changes,describe what changed (Task 1),t1,has been transformed,"present perfect passive for a dramatic, lasting overall change","Over twenty years, the rural village has been transformed into a busy town."
Map changes,describe what changed (Task 1),t1,to the north of,locate a feature using compass direction on a map,A shopping centre now stands to the north of the railway station.
Map changes,describe what changed (Task 1),t1,adjacent to,formal phrase meaning next to; place features beside each other,A car park was built adjacent to the newly opened supermarket.
Map changes,describe what changed (Task 1),t1,on the outskirts,describe features located at the edge of a town or city,Several houses were constructed on the outskirts of the town.
Map changes,describe what changed (Task 1),t1,underwent significant change,summarise that an area changed considerably overall,The eastern part of the area underwent significant change between 1990 and 2010.
Map changes,describe what changed (Task 1),t1,remained unchanged,note a feature that stayed the same across the period,The river and the main road remained unchanged throughout the period.
Frame an opinion,state your view (Task 2),t2,in my view,introduce your personal opinion; common and safe in Task 2,"In my view, governments should invest far more heavily in public transport."
Frame an opinion,state your view (Task 2),t2,I would argue that,state a position you intend to support with reasons,I would argue that the benefits of this policy clearly outweigh its costs.
Frame an opinion,state your view (Task 2),t2,it seems to me that,offer a slightly tentative personal opinion; polite and measured,It seems to me that stricter laws alone cannot solve this problem.
Frame an opinion,state your view (Task 2),t2,I am convinced that,"express a strong, confident opinion you firmly hold",I am convinced that early education shapes a child's future success.
Frame an opinion,state your view (Task 2),t2,from my perspective,signal a personal viewpoint; useful to vary your opinion phrases,"From my perspective, technology has done more good than harm to society."
Frame an opinion,state your view (Task 2),t2,I firmly believe that,state a strong opinion emphatically; good for the thesis statement,I firmly believe that universities should make tuition free for all students.
Frame an opinion,state your view (Task 2),t2,to my mind,introduce a personal opinion; a formal alternative to in my view,"To my mind, working from home improves both productivity and well-being."
Report other views,present positions you discuss (Task 2),t2,it is often argued that,introduce a common opposing view without claiming it yourself,It is often argued that strict rules limit individual freedom unnecessarily.
Report other views,present positions you discuss (Task 2),t2,proponents claim that,present the supporters' position before you evaluate it,Proponents claim that nuclear power offers a clean and reliable energy source.
Report other views,present positions you discuss (Task 2),t2,critics contend that,present the opposing side's argument formally and neutrally,Critics contend that such schemes waste money without reducing real poverty.
Report other views,present positions you discuss (Task 2),t2,some maintain that,attribute a view to an unnamed group you will discuss,Some maintain that exams are the fairest way to assess students.
Report other views,present positions you discuss (Task 2),t2,it is widely believed that,introduce a popular assumption you may later challenge,It is widely believed that money cannot buy lasting happiness.
Report other views,present positions you discuss (Task 2),t2,advocates of this view,refer back to supporters of a position already mentioned,Advocates of this view point to falling crime rates as proof.
Report other views,present positions you discuss (Task 2),t2,opponents argue that,present the counter-position clearly before responding to it,Opponents argue that the policy unfairly burdens low-income families.
Concede & counter,acknowledge then push back (Task 2),t2,although,concede a point at the start of a sentence before countering,"Although cars offer convenience, they are a major source of pollution."
Concede & counter,acknowledge then push back (Task 2),t2,while it is true that,acknowledge an opposing point before raising your objection,"While it is true that tourism creates jobs, it can damage local culture."
Concede & counter,acknowledge then push back (Task 2),t2,admittedly,concede a valid point briefly before pushing back; formal,"Admittedly, online learning lacks face-to-face contact, yet it reaches far more people."
Concede & counter,acknowledge then push back (Task 2),t2,even so,counter a point you just conceded; signals you stand firm,"The plan is expensive; even so, the long-term benefits justify the cost."
Concede & counter,acknowledge then push back (Task 2),t2,nonetheless,to counter a point you just conceded; formal,"Critics raise valid concerns; nonetheless, the policy remains the best option available."
Concede & counter,acknowledge then push back (Task 2),t2,that said,introduce a contrasting point after conceding something; slightly informal,"Social media connects people instantly. That said, it can also fuel loneliness."
Concede & counter,acknowledge then push back (Task 2),t2,despite this,counter a preceding concession; links back to a conceded point,"The risks are real. Despite this, the potential rewards are too great to ignore."
Concede & counter,acknowledge then push back (Task 2),t2,granted,concede a point quickly before countering it; concise and formal,"Granted, fast food is cheap, but its health costs are considerable."
Concede & counter,acknowledge then push back (Task 2),t2,on the other hand,present the opposing side; balance two views in discussion essays,"Cities offer many jobs. On the other hand, they are crowded and stressful."
Cause & effect,link reasons and results (Task 2),t2,as a result,introduce a consequence of a stated cause; very common linker,"Many factories closed, and as a result unemployment rose sharply in the region."
Cause & effect,link reasons and results (Task 2),t2,consequently,formal linker introducing a logical result of the previous point,"Fuel prices increased; consequently, more commuters switched to public transport."
Cause & effect,link reasons and results (Task 2),t2,this leads to,connect a cause to its outcome within or across sentences,"Poor diet and inactivity combine, and this leads to rising obesity rates."
Cause & effect,link reasons and results (Task 2),t2,owing to,formal phrase introducing the cause; followed by a noun phrase,"Owing to rapid urbanisation, many cities now face severe housing shortages."
Cause & effect,link reasons and results (Task 2),t2,stem from,show that a problem originates from a particular cause,Many social problems stem from a lack of affordable education and jobs.
Cause & effect,link reasons and results (Task 2),t2,give rise to,formal way to say a cause produces an effect or problem,Rapid technological change can give rise to widespread job insecurity.
Cause & effect,link reasons and results (Task 2),t2,one major cause is,introduce a key reason when analysing the causes of something,One major cause is the excessive use of private cars in city centres.
Cause & effect,link reasons and results (Task 2),t2,for this reason,draw a conclusion or action from a cause just explained,"Resources are limited; for this reason, recycling should be made compulsory."
Cause & effect,link reasons and results (Task 2),t2,thereby,formal linker showing a result of the action just described,"Governments could tax sugary drinks, thereby reducing consumption and improving public health."
Add & exemplify,extend and illustrate a point (Task 2),t2,furthermore,add a further supporting point; formal sentence-initial linker,"Public transport reduces traffic. Furthermore, it lowers harmful emissions in busy cities."
Add & exemplify,extend and illustrate a point (Task 2),t2,moreover,"add an extra, often stronger point; formal and academic","The scheme saves money. Moreover, it creates new jobs in local communities."
Add & exemplify,extend and illustrate a point (Task 2),t2,in addition,introduce an additional point of equal weight; common and safe,"Exercise improves physical health. In addition, it greatly reduces stress and anxiety."
Add & exemplify,extend and illustrate a point (Task 2),t2,for instance,introduce a specific example to support a general claim,"Many countries promote cycling; for instance, the Netherlands has extensive bike lanes."
Add & exemplify,extend and illustrate a point (Task 2),t2,a clear example of this,introduce a strong illustration of the point just made,A clear example of this is the rapid growth of online shopping during recent years.
Add & exemplify,extend and illustrate a point (Task 2),t2,to illustrate,signal that an example or explanation will follow; formal,"To illustrate, students who read daily tend to write far more fluently."
Add & exemplify,extend and illustrate a point (Task 2),t2,such as,introduce examples within a sentence; followed by a noun,Renewable sources such as solar and wind power are becoming increasingly affordable.
Add & exemplify,extend and illustrate a point (Task 2),t2,a case in point,present an example that perfectly proves your argument,Some cities have banned cars downtown; London is a case in point.
Conclude,close the essay (Task 2),t2,in conclusion,open the final paragraph; the most common conclusion signpost,"In conclusion, the advantages of renewable energy clearly outweigh its drawbacks."
Conclude,close the essay (Task 2),t2,to sum up,open a concluding paragraph; slightly less formal than in conclusion,"To sum up, education remains the most effective tool for reducing inequality."
Conclude,close the essay (Task 2),t2,on balance,conclude after weighing both sides; signals a measured judgement,"On balance, the benefits of globalisation outweigh its negative effects."
Conclude,close the essay (Task 2),t2,overall,summarise your overall position in the conclusion or Task 1 overview,"Overall, I believe technology has improved education far more than it has harmed it."
Conclude,close the essay (Task 2),t2,taking everything into account,conclude after considering all arguments; emphasises a balanced view,"Taking everything into account, stricter regulation seems the wisest course of action."
Conclude,close the essay (Task 2),t2,the evidence suggests that,draw a reasoned conclusion from the points you have made,The evidence suggests that investment in prevention saves money in the long run.
Conclude,close the essay (Task 2),t2,ultimately,"introduce a final, decisive judgement in your conclusion","Ultimately, the responsibility for protecting the environment lies with every individual."
