group,sense,tag,word,def,example
Answering personal questions,direct answer + extension (Q5–7),Q5-7,for example / for instance,back a point with an (invented) example,"For example, last week I bought a jacket online."
Answering personal questions,direct answer + extension (Q5–7),Q5-7,If I had to choose,commit when asked to pick,"If I had to choose, I’d say the afternoon."
Answering personal questions,direct answer + extension (Q5–7),Q5-7,to be honest,soften or emphasise a quick personal answer,"To be honest, I don’t do it very often."
Answering from a schedule,read facts in full sentences (Q8–10),Q8-10,According to the schedule,frame an answer drawn from the table,"According to the schedule, the session starts at 10 a.m."
Answering from a schedule,read facts in full sentences (Q8–10),Q8-10,is scheduled for / is set to begin at,state a time accurately,The keynote is scheduled for 9:30 in the main hall.
Answering from a schedule,read facts in full sentences (Q8–10),Q8-10,will be held in / will take place in,state a location from the table,The workshop will be held in Room 204.
Answering from a schedule,read facts in full sentences (Q8–10),Q8-10,"Yes, that’s correct",confirm a true assumption before adding detail,"Yes, that’s correct — lunch is served at noon."
Answering from a schedule,read facts in full sentences (Q8–10),Q8-10,"Actually, / I’m afraid that’s not right",politely correct a wrong assumption,"Actually, the meeting is on Tuesday, not Monday."
Answering from a schedule,read facts in full sentences (Q8–10),Q8-10,There are + [number] + sessions,summarise a count from the table,There are three sessions before the break.
Stating an opinion,open the 60-second answer (Q11),Q11,I believe / I think that,state your position plainly,I believe that working from home is more productive.
Stating an opinion,open the 60-second answer (Q11),Q11,In my opinion,alternative opener for your view,"In my opinion, students should learn a second language early."
Stating an opinion,open the 60-second answer (Q11),Q11,for two main reasons,signal the structure of your answer,I support this idea for two main reasons.
Stating an opinion,open the 60-second answer (Q11),Q11,I’m strongly in favour of,express a firm positive stance,I’m strongly in favour of flexible working hours.
Stating an opinion,open the 60-second answer (Q11),Q11,"While some people think …, I","acknowledge the other side, then commit","While some people think it’s risky, I believe it’s worth it."
Stating an opinion,open the 60-second answer (Q11),Q11,If you ask me,"casual, confident way to give a view","If you ask me, public transport is the better option."
"Reasons, examples & transitions",develop the answer (Q11),Q11,First of all,introduce your first reason,"First of all, it saves a lot of time."
"Reasons, examples & transitions",develop the answer (Q11),Q11,Secondly / On top of that,add a second reason,"Secondly, it reduces stress from commuting."
"Reasons, examples & transitions",develop the answer (Q11),Q11,For example / For instance,support a reason with a concrete case,"For example, I can start work without a long commute."
"Reasons, examples & transitions",develop the answer (Q11),Q11,This means that,draw a consequence from a point,This means that I have more time for my family.
"Reasons, examples & transitions",develop the answer (Q11),Q11,Another point worth mentioning,back-pocket phrase to add time,Another point worth mentioning is the cost savings.
"Reasons, examples & transitions",develop the answer (Q11),Q11,For these reasons,signal your conclusion,"For these reasons, I strongly believe it’s the better choice."
Buying time & staying fluent,avoid silence (any task),any,"Well, let me see",a natural beat before a no-prep answer,"Well, let me see… I’d say twice a week."
Buying time & staying fluent,avoid silence (any task),any,That’s a good question,buys a moment on the opinion task,"That’s a good question. Personally, I think…"
Buying time & staying fluent,avoid silence (any task),any,As I mentioned,links back and fills time coherently,"As I mentioned, convenience is the main factor."
Buying time & staying fluent,avoid silence (any task),any,What I mean is,rephrase to recover and keep talking,"What I mean is, it’s simply more efficient."
Buying time & staying fluent,avoid silence (any task),any,in other words,restate a point to extend an answer,"In other words, it benefits both sides."
Buying time & staying fluent,avoid silence (any task),any,all in all,wrap up smoothly if time is short,"All in all, it’s the option I’d recommend."
