pair,note,word,pos,def
explicit / implicit,An explicit claim is on the page; an implicit one must be inferred — see imply/infer.,explicit,adj,stated directly and clearly
explicit / implicit,An explicit claim is on the page; an implicit one must be inferred — see imply/infer.,implicit,adj,"implied, understood without being said"
assume / presume,presume rests on some reason; assume needs none.,assume,verb,to suppose without proof
assume / presume,presume rests on some reason; assume needs none.,presume,verb,to suppose based on probability or grounds
deduce / deduct,You deduce a conclusion but deduct a number.,deduce,verb,to reach a conclusion by reasoning
deduce / deduct,You deduce a conclusion but deduct a number.,deduct,verb,to subtract an amount
adopt / adapt,Adopt a method as it is; adapt it by changing it.,adopt,verb,to take up or start using
adopt / adapt,Adopt a method as it is; adapt it by changing it.,adapt,verb,to adjust or modify to suit
later / latter,the former / the latter = the first / the second; later = afterwards.,later,adv / adj,at a subsequent time
later / latter,the former / the latter = the first / the second; later = afterwards.,latter,adj / noun,the second of two things mentioned
systematic / systemic,A systematic search is orderly; systemic failure runs through the whole system.,systematic,adj,"done methodically, according to a system"
systematic / systemic,A systematic search is orderly; systemic failure runs through the whole system.,systemic,adj,affecting an entire system or body
exhaustive / exhausting,An exhaustive study is complete; an exhausting one wears you out.,exhaustive,adj,"thorough, covering everything"
exhaustive / exhausting,An exhaustive study is complete; an exhausting one wears you out.,exhausting,adj,extremely tiring
definite / definitive,A definite answer is certain; the definitive account is the last word on it.,definite,adj,"clear, certain, fixed"
definite / definitive,A definite answer is certain; the definitive account is the last word on it.,definitive,adj,"final and authoritative, settling the matter"
successive / successful,"Three successive years = three in a row, regardless of success.",successive,adj,"following one after another, consecutive"
successive / successful,"Three successive years = three in a row, regardless of success.",successful,adj,achieving the aim
industrial / industrious,An industrial region has factories; an industrious worker puts in effort.,industrial,adj,relating to industry or factories
industrial / industrious,An industrial region has factories; an industrious worker puts in effort.,industrious,adj,"hard-working, diligent"
notable / notorious,notorious is negative — a trap when a statement calls something merely 'famous'.,notable,adj,"worthy of attention, remarkable"
notable / notorious,notorious is negative — a trap when a statement calls something merely 'famous'.,notorious,adj,famous for something bad
temporal / temporary,Temporal order = time order; a temporary measure is short-lived.,temporal,adj,"relating to time (or worldly, not spiritual)"
temporal / temporary,Temporal order = time order; a temporary measure is short-lived.,temporary,adj,lasting only a short time
judicial / judicious,A judicial ruling is a court's; a judicious choice is a wise one.,judicial,adj,relating to courts and judges
judicial / judicious,A judicial ruling is a court's; a judicious choice is a wise one.,judicious,adj,"showing good judgement, sensible"
prescribe / proscribe,Near-opposites — a high-value trap. Prescribe = require; proscribe = prohibit.,prescribe,verb,to recommend or order officially
prescribe / proscribe,Near-opposites — a high-value trap. Prescribe = require; proscribe = prohibit.,proscribe,verb,to forbid or ban
emigrate / immigrate / migrate,"Emigrate FROM, immigrate TO; migrate is the neutral, general move.",emigrate,verb,to leave one's own country to live elsewhere
emigrate / immigrate / migrate,"Emigrate FROM, immigrate TO; migrate is the neutral, general move.",immigrate,verb,to come into a country to live
emigrate / immigrate / migrate,"Emigrate FROM, immigrate TO; migrate is the neutral, general move.",migrate,verb,to move from one place to another (often seasonally)
council / counsel,A council meets; counsel is the advice it might give.,council,noun,an assembly or governing body
council / counsel,A council meets; counsel is the advice it might give.,counsel,noun / verb,advice; to advise; a lawyer
dependent / dependant,Be dependent (adj) on aid; support a dependant (n).,dependent,adj,relying on something or someone
dependent / dependant,Be dependent (adj) on aid; support a dependant (n).,dependant,noun,a person who depends on another (UK spelling)
device / devise,You devise (v) a clever device (n).,device,noun,"a tool, gadget or plan"
device / devise,You devise (v) a clever device (n).,devise,verb,to invent or plan
allusion / illusion,An allusion points to something; an illusion deceives you.,allusion,noun,an indirect reference
allusion / illusion,An allusion points to something; an illusion deceives you.,illusion,noun,a false impression or belief
perspective / prospective,Your perspective is your viewpoint; a prospective student is a future one.,perspective,noun,a point of view or way of seeing
perspective / prospective,Your perspective is your viewpoint; a prospective student is a future one.,prospective,adj,"expected or likely in the future, potential"
eminent / imminent,An eminent scientist is renowned; an imminent storm is close.,eminent,adj,"distinguished, famous and respected"
eminent / imminent,An eminent scientist is renowned; an imminent storm is close.,imminent,adj,about to happen very soon
rebut / refute,Refute implies success; rebut is only the attempt. Reading tests this strength gap.,rebut,verb,"to argue against, claim something is false"
rebut / refute,Refute implies success; rebut is only the attempt. Reading tests this strength gap.,refute,verb,to prove something is false (stronger)
