group,sense,tag,word,def,example
"Likes, dislikes & preferences",talk about what you enjoy (Part 1),p1,it’s not really my cup of tea,"say you’re not keen on something, idiomatically","Opera’s not really my cup of tea, to be honest."
"Likes, dislikes & preferences",talk about what you enjoy (Part 1),p1,I’d much rather,state a clear preference between options,I’d much rather read a book than watch TV.
"Likes, dislikes & preferences",talk about what you enjoy (Part 1),p1,I’ve grown to love,describe a preference that developed over time,I’ve grown to love cooking since I moved out.
"Likes, dislikes & preferences",talk about what you enjoy (Part 1),p1,I’m a big fan of,express enthusiasm for something,I’m a big fan of live music — there’s nothing like it.
Past & habits,talk about before (Part 1 & 2),p1,I used to,describe a past habit that has stopped,I used to collect stamps when I was a kid.
Past & habits,talk about before (Part 1 & 2),p1,back when I was,frame a memory in a past period,"Back when I was at school, we barely used computers."
Past & habits,talk about before (Part 1 & 2),p1,I’ve always,present perfect for a lifelong trait or habit,I’ve always been a bit of a night owl.
Past & habits,talk about before (Part 1 & 2),p1,it brings back memories,react to a nostalgic topic naturally,That song really brings back memories of my teens.
Past & habits,talk about before (Part 1 & 2),p1,if I remember rightly,hedge a memory you’re not 100% sure of,"If I remember rightly, it was about ten years ago."
Past & habits,talk about before (Part 1 & 2),p1,at the time,anchor a feeling or fact to a past moment,"At the time, I had no idea how much it would matter."
Narrating the long turn,tell the story (Part 2),p2,I’d like to talk about,"the standard, clean way to frame your Part 2 topic",I’d like to talk about a trip that really stuck with me.
Narrating the long turn,tell the story (Part 2),p2,what stood out was,highlight the memorable detail of an experience,What stood out was how friendly everyone was.
Narrating the long turn,tell the story (Part 2),p2,the reason it was so memorable,set up the ‘why’ bullet point,The reason it was so memorable is that I’d never done anything like it.
Narrating the long turn,tell the story (Part 2),p2,to set the scene,introduce background before the main event,"To set the scene, it was the middle of winter and freezing."
Narrating the long turn,tell the story (Part 2),p2,looking back,reflect to round off and fill the full two minutes,"Looking back, it taught me to be more independent."
Narrating the long turn,tell the story (Part 2),p2,all in all,wrap up the long turn with an overall impression,"All in all, it was one of the best decisions I’ve made."
Comparing & contrasting,weigh two things (Part 3),p3,whereas,contrast two ideas in one sentence,"City life is fast-paced, whereas the countryside is calmer."
Comparing & contrasting,weigh two things (Part 3),p3,compared to,set one thing against another,"Compared to ten years ago, everything is far more digital."
Comparing & contrasting,weigh two things (Part 3),p3,by contrast,open a sentence marking a clear difference,"Older generations saved more. By contrast, many young people spend freely."
Comparing & contrasting,weigh two things (Part 3),p3,nowhere near as … as,emphasise a big gap between two things,It’s nowhere near as expensive as people assume.
Comparing & contrasting,weigh two things (Part 3),p3,the flip side,introduce the opposite angle or downside,The flip side is that it can be quite isolating.
Comparing & contrasting,weigh two things (Part 3),p3,there’s a trade-off between,frame a balanced comparison of pros and cons,There’s a trade-off between convenience and privacy.
Reacting & emphasising,add colour & stress (any part),all,to be honest,soften or emphasise a frank opinion,"To be honest, I’ve never really enjoyed it."
Reacting & emphasising,add colour & stress (any part),all,absolutely / definitely,strong agreement or emphasis on an adjective,It was absolutely freezing that day.
Reacting & emphasising,add colour & stress (any part),all,what really gets me is,emphatic way to introduce a strong feeling,What really gets me is how wasteful it all is.
Reacting & emphasising,add colour & stress (any part),all,believe it or not,flag a surprising fact and add interest,"Believe it or not, I’d never travelled before then."
Reacting & emphasising,add colour & stress (any part),all,genuinely,stress sincerity; a natural intensifier,I was genuinely amazed by how good it was.
Reacting & emphasising,add colour & stress (any part),all,more than anything,single out the strongest reason or feeling,"More than anything, it gave me confidence."
