group,sense,tag,note,word,def,example
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,tail off,to gradually become less or weaker,Attendance tailed off towards the end of the festival.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,subside,to gradually become less strong or intense,The flooding subsided once the heavy rains stopped.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,wane,to gradually decrease in strength or importance,Public interest in the issue began to wane over time.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,a downturn in,a fall in economic activity or performance,The region experienced a sharp downturn in manufacturing output.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,deplete,to reduce a supply by using it up,Intensive farming has depleted the soil's natural nutrients.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,slump,to fall suddenly and by a large amount,Car exports slumped during the economic crisis.
Stay the same,"no change, hold steady",trends,level off / plateau = stops changing after moving — not the same as 'always flat'.,remain stable,to stay at a steady level without changing,Prices remained stable throughout the financial year.
Stay the same,"no change, hold steady",trends,level off / plateau = stops changing after moving — not the same as 'always flat'.,hold steady,to stay at the same level without rising or falling,Interest rates held steady despite market pressure.
Stay the same,"no change, hold steady",trends,level off / plateau = stops changing after moving — not the same as 'always flat'.,level off,to stop increasing or decreasing and stay constant,"Sales rose quickly, then levelled off in the spring."
Stay the same,"no change, hold steady",trends,level off / plateau = stops changing after moving — not the same as 'always flat'.,plateau,to stop rising and remain at a steady level,Productivity gains plateaued after the initial improvements.
Stay the same,"no change, hold steady",trends,level off / plateau = stops changing after moving — not the same as 'always flat'.,stay constant,to remain unchanged over a period of time,The error rate stayed constant across all the trials.
Stay the same,"no change, hold steady",trends,level off / plateau = stops changing after moving — not the same as 'always flat'.,show no change,to display no difference over time,The control group showed no change after the treatment.
Stay the same,"no change, hold steady",trends,level off / plateau = stops changing after moving — not the same as 'always flat'.,remain unchanged,to stay exactly the same as before,The unemployment figures remained unchanged this month.
Stay the same,"no change, hold steady",trends,level off / plateau = stops changing after moving — not the same as 'always flat'.,even out,to become steady or balanced after fluctuating,Demand fluctuated at first but soon evened out.
Stay the same,"no change, hold steady",trends,level off / plateau = stops changing after moving — not the same as 'always flat'.,stabilise,to become steady and stop changing,The patient's condition stabilised after surgery.
Stay the same,"no change, hold steady",trends,level off / plateau = stops changing after moving — not the same as 'always flat'.,hold firm,to stay at the same level despite pressure,The currency held firm against the dollar all week.
Stay the same,"no change, hold steady",trends,level off / plateau = stops changing after moving — not the same as 'always flat'.,be static,to stay the same with no movement or change,Wages have been static for the lowest earners for years.
Improve / get better,raise quality or condition,change,enhance / refine = make an already-good thing better; ameliorate = improve a bad situation.,enhance,to make something good even better in quality,The new software greatly enhances the system's performance.
Improve / get better,raise quality or condition,change,enhance / refine = make an already-good thing better; ameliorate = improve a bad situation.,boost,to increase or improve something quickly,The campaign boosted public awareness of recycling.
Improve / get better,raise quality or condition,change,enhance / refine = make an already-good thing better; ameliorate = improve a bad situation.,refine,to make small changes that improve something,Engineers refined the design to reduce energy use.
Improve / get better,raise quality or condition,change,enhance / refine = make an already-good thing better; ameliorate = improve a bad situation.,upgrade,to improve something to a higher standard,The university upgraded its laboratory facilities last year.
Improve / get better,raise quality or condition,change,enhance / refine = make an already-good thing better; ameliorate = improve a bad situation.,ameliorate,to improve a bad or unpleasant situation,The reforms aimed to ameliorate conditions in overcrowded cities.
Improve / get better,raise quality or condition,change,enhance / refine = make an already-good thing better; ameliorate = improve a bad situation.,augment,to make something larger or better by adding to it,They augmented the dataset with newly collected samples.
Improve / get better,raise quality or condition,change,enhance / refine = make an already-good thing better; ameliorate = improve a bad situation.,bolster,to strengthen or support something,Additional funding bolstered the research programme.
Improve / get better,raise quality or condition,change,enhance / refine = make an already-good thing better; ameliorate = improve a bad situation.,strengthen,to make something stronger or more effective,New evidence strengthened the case for early intervention.
Improve / get better,raise quality or condition,change,enhance / refine = make an already-good thing better; ameliorate = improve a bad situation.,advance,to develop or improve something further,The discovery advanced our understanding of the disease.
Improve / get better,raise quality or condition,change,enhance / refine = make an already-good thing better; ameliorate = improve a bad situation.,optimise,to make something as good or effective as possible,The team optimised the process to cut production time.
Improve / get better,raise quality or condition,change,enhance / refine = make an already-good thing better; ameliorate = improve a bad situation.,hone,to improve a skill or ability over time,Years of practice honed her analytical skills.
Improve / get better,raise quality or condition,change,enhance / refine = make an already-good thing better; ameliorate = improve a bad situation.,build on,to use existing success as a basis for improvement,The study builds on earlier findings about memory.
Improve / get better,raise quality or condition,change,enhance / refine = make an already-good thing better; ameliorate = improve a bad situation.,step up,to increase or improve effort or activity,The agency stepped up its efforts to reduce pollution.
Improve / get better,raise quality or condition,change,enhance / refine = make an already-good thing better; ameliorate = improve a bad situation.,fine-tune,to make small adjustments to improve something,Researchers fine-tuned the model to improve accuracy.
Worsen / deteriorate,decline in quality or condition,change,exacerbate / aggravate = make a problem worse; erode / undermine = weaken gradually.,deteriorate,to become gradually worse in quality or condition,Air quality has deteriorated sharply in the city centre.
Worsen / deteriorate,decline in quality or condition,change,exacerbate / aggravate = make a problem worse; erode / undermine = weaken gradually.,worsen,to become or make worse,The drought worsened the region's food shortages.
Worsen / deteriorate,decline in quality or condition,change,exacerbate / aggravate = make a problem worse; erode / undermine = weaken gradually.,degrade,to reduce the quality or condition of something,Pollution has degraded the coastal ecosystem.
Worsen / deteriorate,decline in quality or condition,change,exacerbate / aggravate = make a problem worse; erode / undermine = weaken gradually.,exacerbate,to make a problem or bad situation worse,The new policy exacerbated existing inequalities.
Worsen / deteriorate,decline in quality or condition,change,exacerbate / aggravate = make a problem worse; erode / undermine = weaken gradually.,aggravate,to make a difficult situation more serious,Poor management aggravated the company's financial troubles.
Worsen / deteriorate,decline in quality or condition,change,exacerbate / aggravate = make a problem worse; erode / undermine = weaken gradually.,erode,to gradually weaken or wear away,Inflation slowly eroded the value of household savings.
Worsen / deteriorate,decline in quality or condition,change,exacerbate / aggravate = make a problem worse; erode / undermine = weaken gradually.,undermine,to gradually weaken something's effectiveness or strength,Repeated scandals undermined public trust in the institution.
Worsen / deteriorate,decline in quality or condition,change,exacerbate / aggravate = make a problem worse; erode / undermine = weaken gradually.,regress,to return to a worse or earlier state,"Without support, patients may regress to former habits."
Worsen / deteriorate,decline in quality or condition,change,exacerbate / aggravate = make a problem worse; erode / undermine = weaken gradually.,decline,to gradually become worse in quality or strength,The empire's influence declined over several centuries.
Worsen / deteriorate,decline in quality or condition,change,exacerbate / aggravate = make a problem worse; erode / undermine = weaken gradually.,take a turn for the worse,to suddenly become worse,The situation took a turn for the worse after the storm.
Worsen / deteriorate,decline in quality or condition,change,exacerbate / aggravate = make a problem worse; erode / undermine = weaken gradually.,go downhill,to become progressively worse in condition,Standards went downhill once funding was withdrawn.
A lot / many,large amount or number,quantity,substantial / considerable hedge a quantity without giving a figure.,numerous,existing in large numbers; many,Numerous studies have linked diet to long-term health.
A lot / many,large amount or number,quantity,substantial / considerable hedge a quantity without giving a figure.,a multitude of,a very large number of things or people,The festival attracts a multitude of visitors each year.
A lot / many,large amount or number,quantity,substantial / considerable hedge a quantity without giving a figure.,a wealth of,a large and valuable amount of something,The archive offers a wealth of historical information.
A lot / many,large amount or number,quantity,substantial / considerable hedge a quantity without giving a figure.,abundant,existing in very large quantities; plentiful,The region has abundant supplies of fresh water.
A lot / many,large amount or number,quantity,substantial / considerable hedge a quantity without giving a figure.,plentiful,available in large amounts; more than enough,Job opportunities were plentiful during the boom years.
A lot / many,large amount or number,quantity,substantial / considerable hedge a quantity without giving a figure.,considerable,"fairly large in amount, size, or extent",The project required a considerable amount of funding.
A lot / many,large amount or number,quantity,substantial / considerable hedge a quantity without giving a figure.,substantial,"large in amount, value, or importance",A substantial proportion of respondents supported the change.
A lot / many,large amount or number,quantity,substantial / considerable hedge a quantity without giving a figure.,a great deal of,a large amount of something,The reform generated a great deal of public debate.
A lot / many,large amount or number,quantity,substantial / considerable hedge a quantity without giving a figure.,countless,too many to be counted; very many,Countless species depend on coral reefs for survival.
A lot / many,large amount or number,quantity,substantial / considerable hedge a quantity without giving a figure.,widespread,existing or happening over a large area or among many,There is widespread support for stricter environmental laws.
A lot / many,large amount or number,quantity,substantial / considerable hedge a quantity without giving a figure.,ample,more than enough in amount or quantity,The report provides ample evidence for its conclusions.
A lot / many,large amount or number,quantity,substantial / considerable hedge a quantity without giving a figure.,copious,present in large amounts; abundant,She took copious notes during the lecture series.
A lot / many,large amount or number,quantity,substantial / considerable hedge a quantity without giving a figure.,a host of,a large number of things or people,The decision raised a host of ethical questions.
A lot / many,large amount or number,quantity,substantial / considerable hedge a quantity without giving a figure.,myriad,an extremely large number of things,The internet offers a myriad of learning resources.
Few / little,small amount or number,quantity,negligible = so small it barely counts — often the key to a True/False call.,scarce,available only in small amounts; hard to find,Clean water is scarce in many parts of the world.
Few / little,small amount or number,quantity,negligible = so small it barely counts — often the key to a True/False call.,sparse,small in number or amount and thinly spread,Vegetation is sparse in the arid desert regions.
Few / little,small amount or number,quantity,negligible = so small it barely counts — often the key to a True/False call.,minimal,very small in amount; as little as possible,The treatment caused only minimal side effects.
Few / little,small amount or number,quantity,negligible = so small it barely counts — often the key to a True/False call.,negligible,so small that it is barely worth considering,The change had a negligible effect on the results.
Few / little,small amount or number,quantity,negligible = so small it barely counts — often the key to a True/False call.,a handful of,a very small number of things or people,Only a handful of countries have signed the agreement.
Few / little,small amount or number,quantity,negligible = so small it barely counts — often the key to a True/False call.,limited,small in amount or extent; restricted,Researchers had limited access to the original data.
Few / little,small amount or number,quantity,negligible = so small it barely counts — often the key to a True/False call.,scant,very little; barely enough,There is scant evidence to support the theory.
Few / little,small amount or number,quantity,negligible = so small it barely counts — often the key to a True/False call.,in short supply,available only in small quantities,Skilled workers were in short supply during the expansion.
Few / little,small amount or number,quantity,negligible = so small it barely counts — often the key to a True/False call.,few and far between,rare and infrequent,Genuine breakthroughs in the field are few and far between.
Few / little,small amount or number,quantity,negligible = so small it barely counts — often the key to a True/False call.,meagre,small in amount and not enough,The workers received a meagre share of the profits.
Few / little,small amount or number,quantity,negligible = so small it barely counts — often the key to a True/False call.,a paucity of,a shortage or scarcity of something,There is a paucity of data on the long-term effects.
Few / little,small amount or number,quantity,negligible = so small it barely counts — often the key to a True/False call.,a dearth of,a serious lack of something,A dearth of funding hampered the early research.
Big / large,great in size or extent,size,"far-reaching / sweeping = large in effect or scope, not physical size.",vast,"extremely large in size, amount, or extent",The survey covered a vast area of farmland.
Big / large,great in size or extent,size,"far-reaching / sweeping = large in effect or scope, not physical size.",immense,extremely large or great in degree,The project required an immense amount of labour.
Big / large,great in size or extent,size,"far-reaching / sweeping = large in effect or scope, not physical size.",enormous,extremely large in size or quantity,The dam holds an enormous volume of water.
Big / large,great in size or extent,size,"far-reaching / sweeping = large in effect or scope, not physical size.",sizeable,fairly large in amount or size,A sizeable portion of the budget went to research.
Big / large,great in size or extent,size,"far-reaching / sweeping = large in effect or scope, not physical size.",extensive,covering a large area or range,The author conducted extensive research before writing.
Big / large,great in size or extent,size,"far-reaching / sweeping = large in effect or scope, not physical size.",massive,"very large in size, amount, or scale",The factory underwent a massive expansion.
Big / large,great in size or extent,size,"far-reaching / sweeping = large in effect or scope, not physical size.",huge,extremely large in size or amount,The discovery had a huge impact on the field.
Big / large,great in size or extent,size,"far-reaching / sweeping = large in effect or scope, not physical size.",considerable,"notably large in size, amount, or extent",The renovation took a considerable amount of time.
Big / large,great in size or extent,size,"far-reaching / sweeping = large in effect or scope, not physical size.",substantial,"large in size, amount, or importance",The company made a substantial investment in technology.
Big / large,great in size or extent,size,"far-reaching / sweeping = large in effect or scope, not physical size.",colossal,extremely large; enormous,Building the bridge was a colossal engineering task.
Big / large,great in size or extent,size,"far-reaching / sweeping = large in effect or scope, not physical size.",far-reaching,having a wide effect or influence,The decision had far-reaching consequences for the industry.
Big / large,great in size or extent,size,"far-reaching / sweeping = large in effect or scope, not physical size.",sweeping,wide in range and having a major effect,The government introduced sweeping reforms to education.
Small / slight,minor in size or degree,size,marginal / nominal = small enough to barely matter — a common False trigger.,minute,extremely small in size or amount,The instrument detects minute changes in temperature.
Small / slight,minor in size or degree,size,marginal / nominal = small enough to barely matter — a common False trigger.,tiny,very small in size or degree,Even a tiny error could affect the entire calculation.
Small / slight,minor in size or degree,size,marginal / nominal = small enough to barely matter — a common False trigger.,slight,small in degree; not significant,There was only a slight increase in attendance.
Small / slight,minor in size or degree,size,marginal / nominal = small enough to barely matter — a common False trigger.,modest,small or moderate in size or amount,The reforms produced only modest improvements.
Small / slight,minor in size or degree,size,marginal / nominal = small enough to barely matter — a common False trigger.,marginal,very small and not important,The new method offered only a marginal advantage.
Small / slight,minor in size or degree,size,marginal / nominal = small enough to barely matter — a common False trigger.,negligible,too small to be worth considering,The difference between the two groups was negligible.
Small / slight,minor in size or degree,size,marginal / nominal = small enough to barely matter — a common False trigger.,compact,small and neatly arranged in size,The device has a compact design for portability.
Small / slight,minor in size or degree,size,marginal / nominal = small enough to barely matter — a common False trigger.,minuscule,extremely small; tiny,The bacteria are minuscule and invisible to the eye.
Small / slight,minor in size or degree,size,marginal / nominal = small enough to barely matter — a common False trigger.,fractional,very small; a tiny fraction of the whole,There was only a fractional change in the readings.
Small / slight,minor in size or degree,size,marginal / nominal = small enough to barely matter — a common False trigger.,nominal,so small as to be hardly worth mentioning,Members pay only a nominal fee to join.
Small / slight,minor in size or degree,size,marginal / nominal = small enough to barely matter — a common False trigger.,trivial,so small or minor as to be unimportant,The differences in cost were trivial.
Cause / lead to,make something happen,cause,Don't confuse with mere correlation — see 'cause vs correlation' in Hard sentence patterns.,bring about,to make something happen or cause it to occur,The new policy brought about a sharp fall in urban air pollution.
Cause / lead to,make something happen,cause,Don't confuse with mere correlation — see 'cause vs correlation' in Hard sentence patterns.,give rise to,"to cause something, often a problem or situation, to begin",Rapid industrialisation gave rise to severe overcrowding in coastal cities.
Cause / lead to,make something happen,cause,Don't confuse with mere correlation — see 'cause vs correlation' in Hard sentence patterns.,trigger,"to cause something to start, often suddenly",The interest rate cut triggered a wave of consumer spending.
Cause / lead to,make something happen,cause,Don't confuse with mere correlation — see 'cause vs correlation' in Hard sentence patterns.,result in,to cause a particular outcome or end product,Prolonged drought resulted in widespread crop failure across the region.
Cause / lead to,make something happen,cause,Don't confuse with mere correlation — see 'cause vs correlation' in Hard sentence patterns.,lead to,to cause something to happen as a later effect,Poor sanitation can lead to the rapid spread of disease.
Cause / lead to,make something happen,cause,Don't confuse with mere correlation — see 'cause vs correlation' in Hard sentence patterns.,generate,to produce or cause something to come into existence,The festival generated significant income for local businesses.
Cause / lead to,make something happen,cause,Don't confuse with mere correlation — see 'cause vs correlation' in Hard sentence patterns.,prompt,to cause someone to act or something to happen,Falling sales prompted the company to redesign its products.
Cause / lead to,make something happen,cause,Don't confuse with mere correlation — see 'cause vs correlation' in Hard sentence patterns.,spark,"to cause something, especially interest or activity, to begin suddenly",The discovery sparked intense debate among leading scientists.
Cause / lead to,make something happen,cause,Don't confuse with mere correlation — see 'cause vs correlation' in Hard sentence patterns.,be responsible for,to be the cause of something happening,Human activity is largely responsible for the recent rise in temperatures.
Cause / lead to,make something happen,cause,Don't confuse with mere correlation — see 'cause vs correlation' in Hard sentence patterns.,set off,to cause a process or chain of events to begin,The announcement set off a sudden surge in share prices.
Cause / lead to,make something happen,cause,Don't confuse with mere correlation — see 'cause vs correlation' in Hard sentence patterns.,induce,"to cause a particular state, reaction or condition","Loud, constant noise can induce high levels of stress in workers."
Cause / lead to,make something happen,cause,Don't confuse with mere correlation — see 'cause vs correlation' in Hard sentence patterns.,precipitate,"to cause an event, usually bad, to happen suddenly or sooner",The bank's collapse precipitated a wider financial crisis.
Cause / lead to,make something happen,cause,Don't confuse with mere correlation — see 'cause vs correlation' in Hard sentence patterns.,be the driving force behind,to be the main cause that makes something develop,Cheap labour was the driving force behind the country's rapid growth.
Result / consequence,what something causes,cause,stem from / arise from / owing to all point you back UP to the cause.,outcome,"the final result of an action, process or event",The outcome of the study surprised the research team.
Result / consequence,what something causes,cause,stem from / arise from / owing to all point you back UP to the cause.,effect,a change that results from a particular cause,The policy had a positive effect on employment rates.
Result / consequence,what something causes,cause,stem from / arise from / owing to all point you back UP to the cause.,upshot,the final result or conclusion of a situation,The upshot of the negotiations was a long-term trade agreement.
Result / consequence,what something causes,cause,stem from / arise from / owing to all point you back UP to the cause.,by-product,a secondary result produced alongside the main one,Pollution is an unwelcome by-product of heavy manufacturing.
Result / consequence,what something causes,cause,stem from / arise from / owing to all point you back UP to the cause.,repercussion,"an indirect, usually unwelcome, result of an action or event",The decision had serious repercussions for the wider economy.
Result / consequence,what something causes,cause,stem from / arise from / owing to all point you back UP to the cause.,knock-on effect,an indirect result that affects other things in turn,Higher fuel costs had a knock-on effect on food prices.
Result / consequence,what something causes,cause,stem from / arise from / owing to all point you back UP to the cause.,as a consequence,as a result of something that happened,"Funding was cut, and as a consequence many programmes closed."
Result / consequence,what something causes,cause,stem from / arise from / owing to all point you back UP to the cause.,stem from,to be caused by or originate in something,Many of these errors stem from inadequate staff training.
Result / consequence,what something causes,cause,stem from / arise from / owing to all point you back UP to the cause.,arise from,to result or develop from a particular cause,Several disputes arose from the unclear wording of the contract.
Result / consequence,what something causes,cause,stem from / arise from / owing to all point you back UP to the cause.,owing to,because of; as a result of a stated cause,"Owing to bad weather, the expedition was postponed indefinitely."
Result / consequence,what something causes,cause,stem from / arise from / owing to all point you back UP to the cause.,due to,caused by or resulting from something,The delay was due to a shortage of skilled engineers.
Result / consequence,what something causes,cause,stem from / arise from / owing to all point you back UP to the cause.,ensue,to happen afterwards as a result or consequence,"When the rules were relaxed, widespread confusion ensued."
Result / consequence,what something causes,cause,stem from / arise from / owing to all point you back UP to the cause.,follow from,to happen as a logical or natural result of something,Several benefits follow from adopting this simpler approach.
Affect / influence,have a bearing on something,cause,shape / condition / govern = strongly influence; sway / colour = subtly tilt.,influence,to have an effect on how something develops or behaves,Early experiences strongly influence a child's later development.
Affect / influence,have a bearing on something,cause,shape / condition / govern = strongly influence; sway / colour = subtly tilt.,shape,to have a strong effect on the form something takes,Climate has shaped the way these communities live for centuries.
Affect / influence,have a bearing on something,cause,shape / condition / govern = strongly influence; sway / colour = subtly tilt.,sway,"to influence someone's opinion or decision, often subtly",The lawyer's argument failed to sway the jury.
Affect / influence,have a bearing on something,cause,shape / condition / govern = strongly influence; sway / colour = subtly tilt.,impact,to have a strong effect on something or someone,Rising sea levels will impact millions of coastal residents.
Affect / influence,have a bearing on something,cause,shape / condition / govern = strongly influence; sway / colour = subtly tilt.,have a bearing on,to have an influence on or relevance to something,Diet has a clear bearing on long-term health outcomes.
Affect / influence,have a bearing on something,cause,shape / condition / govern = strongly influence; sway / colour = subtly tilt.,condition,to influence or determine how something behaves or develops,Cultural norms condition how people respond to authority.
Affect / influence,have a bearing on something,cause,shape / condition / govern = strongly influence; sway / colour = subtly tilt.,govern,to strongly control or influence how something works,Supply and demand largely govern the price of goods.
Affect / influence,have a bearing on something,cause,shape / condition / govern = strongly influence; sway / colour = subtly tilt.,determine,to be the deciding factor that controls a result,Genetics partly determine a person's risk of disease.
Affect / influence,have a bearing on something,cause,shape / condition / govern = strongly influence; sway / colour = subtly tilt.,colour,"to subtly influence opinions or perceptions, often unfairly",Personal bias can colour how researchers interpret their data.
Affect / influence,have a bearing on something,cause,shape / condition / govern = strongly influence; sway / colour = subtly tilt.,leave a mark on,to have a lasting influence or effect on something,The war left a lasting mark on the nation's economy.
Affect / influence,have a bearing on something,cause,shape / condition / govern = strongly influence; sway / colour = subtly tilt.,weigh on,to have a burdensome or depressing influence on something,Uncertainty over trade continues to weigh on investor confidence.
Change / alter,become different,change,"fluctuate / vary = move up and down; transform / overhaul = a deep, lasting change.",transform,"to change something completely, usually for the better",Digital technology has transformed the way students learn.
Change / alter,become different,change,"fluctuate / vary = move up and down; transform / overhaul = a deep, lasting change.",modify,to make small or partial changes to something,Engineers modified the design to reduce fuel consumption.
Change / alter,become different,change,"fluctuate / vary = move up and down; transform / overhaul = a deep, lasting change.",adjust,to make small changes so something fits or works better,Farmers adjusted their methods to cope with drier seasons.
Change / alter,become different,change,"fluctuate / vary = move up and down; transform / overhaul = a deep, lasting change.",shift,"to change position, direction or focus",Public opinion has shifted towards renewable energy.
Change / alter,become different,change,"fluctuate / vary = move up and down; transform / overhaul = a deep, lasting change.",evolve,to develop and change gradually over time,The language has evolved considerably over several centuries.
Change / alter,become different,change,"fluctuate / vary = move up and down; transform / overhaul = a deep, lasting change.",convert,to change something from one form or use to another,The old factory was converted into modern apartments.
Change / alter,become different,change,"fluctuate / vary = move up and down; transform / overhaul = a deep, lasting change.",revise,to change something after reconsidering it,The committee revised its estimates after reviewing new data.
Change / alter,become different,change,"fluctuate / vary = move up and down; transform / overhaul = a deep, lasting change.",reshape,to change the form or structure of something significantly,The reforms reshaped the entire education system.
Change / alter,become different,change,"fluctuate / vary = move up and down; transform / overhaul = a deep, lasting change.",fluctuate,"to change frequently in level or amount, up and down",Oil prices fluctuated sharply throughout the year.
Change / alter,become different,change,"fluctuate / vary = move up and down; transform / overhaul = a deep, lasting change.",undergo a change,to experience a process of becoming different,The region has undergone a dramatic change since the 1990s.
Change / alter,become different,change,"fluctuate / vary = move up and down; transform / overhaul = a deep, lasting change.",vary,to be or become different in amount or degree,Rainfall varies considerably from one region to another.
Change / alter,become different,change,"fluctuate / vary = move up and down; transform / overhaul = a deep, lasting change.",overhaul,to change and improve a system thoroughly,The government plans to overhaul the outdated tax system.
Change / alter,become different,change,"fluctuate / vary = move up and down; transform / overhaul = a deep, lasting change.",recast,to change the form or presentation of something,The author recast the argument to make it more persuasive.
Reduce / limit,make smaller or restrict,change,mitigate / alleviate = make a bad thing less severe (not remove it).,curb,"to control or limit something, especially to keep it down",New laws aim to curb the rise in carbon emissions.
Reduce / limit,make smaller or restrict,change,mitigate / alleviate = make a bad thing less severe (not remove it).,curtail,"to reduce or restrict something, often by cutting it short",Budget cuts curtailed the scope of the research project.
Reduce / limit,make smaller or restrict,change,mitigate / alleviate = make a bad thing less severe (not remove it).,restrict,"to limit the size, amount or range of something",Authorities restricted water use during the severe drought.
Reduce / limit,make smaller or restrict,change,mitigate / alleviate = make a bad thing less severe (not remove it).,cut back,to reduce the amount or extent of something,The firm cut back on spending to survive the recession.
Reduce / limit,make smaller or restrict,change,mitigate / alleviate = make a bad thing less severe (not remove it).,scale down,to reduce the size or scope of an activity,The company scaled down production after demand fell.
Reduce / limit,make smaller or restrict,change,mitigate / alleviate = make a bad thing less severe (not remove it).,alleviate,to make a bad situation or problem less severe,The medicine helps alleviate the symptoms of the disease.
